event_id,user_id,region,login_at_utc
evt-000000,u-00235,us-east,2026-04-12T12:34:54Z
evt-000001,u-00158,eu-west,2026-04-14T20:35:06Z
evt-000002,u-00212,us-east,2026-04-12T06:43:00Z
evt-000003,u-00046,us-east,2026-04-12T07:40:56Z
evt-000004,u-00038,us-east,2026-04-09T03:16:55Z
evt-000005,u-00230,eu-west,2026-04-11T23:51:47Z
evt-000006,u-00151,eu-west,2026-04-02T19:30:21Z
evt-000007,u-00140,eu-west,2026-04-12T13:23:08Z
evt-000008,u-00096,eu-west,2026-04-13T05:45:04Z
evt-000009,u-00092,us-east,2026-04-09T14:09:26Z
evt-000010,u-00156,us-east,2026-04-06T08:40:40Z
evt-000011,u-00160,eu-west,2026-04-13T08:41:09Z
evt-000012,u-00168,us-east,2026-04-04T01:52:12Z
evt-000013,u-00191,us-east,2026-04-08T09:24:19Z
evt-000014,u-00035,eu-west,2026-04-14T22:52:50Z
evt-000015,u-00154,eu-west,2026-04-13T15:55:07Z
evt-000016,u-00193,us-east,2026-04-04T02:18:51Z
evt-000017,u-00016,us-east,2026-04-07T20:21:47Z
evt-000018,u-00021,eu-west,2026-04-09T23:02:16Z
evt-000019,u-00010,us-east,2026-04-07T17:20:53Z
evt-000020,u-00185,us-east,2026-04-03T15:42:09Z
evt-000021,u-00011,eu-west,2026-04-01T05:55:24Z
evt-000022,u-00135,eu-west,2026-04-14T05:45:32Z
evt-000023,u-00202,us-east,2026-04-03T03:56:15Z
evt-000024,u-00124,us-east,2026-04-01T20:51:53Z
evt-000025,u-00238,eu-west,2026-04-01T21:44:48Z
evt-000026,u-00225,eu-west,2026-04-10T23:34:34Z
evt-000027,u-00227,us-east,2026-04-02T07:09:42Z
evt-000028,u-00133,us-east,2026-04-02T06:38:54Z
evt-000029,u-00082,eu-west,2026-04-04T09:11:11Z
evt-000030,u-00231,eu-west,2026-04-09T12:58:39Z
evt-000031,u-00212,eu-west,2026-04-01T00:11:11Z
evt-000032,u-00218,us-east,2026-04-08T06:41:50Z
evt-000033,u-00154,eu-west,2026-04-03T23:00:07Z
evt-000034,u-00161,us-east,2026-04-14T11:59:23Z
evt-000035,u-00203,eu-west,2026-04-09T14:21:28Z
evt-000036,u-00006,eu-west,2026-04-13T11:47:24Z
evt-000037,u-00227,us-east,2026-04-14T19:51:48Z
evt-000038,u-00173,eu-west,2026-04-04T06:36:58Z
evt-000039,u-00101,us-east,2026-04-02T20:23:46Z
evt-000040,u-00038,us-east,2026-04-05T00:09:40Z
evt-000041,u-00059,us-east,2026-04-09T14:51:50Z
evt-000042,u-00100,us-east,2026-04-05T23:11:10Z
evt-000043,u-00071,us-east,2026-04-10T02:27:25Z
evt-000044,u-00211,us-east,2026-04-07T17:20:44Z
evt-000045,u-00092,us-east,2026-04-01T19:13:46Z
evt-000046,u-00201,eu-west,2026-04-09T21:35:24Z
evt-000047,u-00033,us-east,2026-04-11T12:06:13Z
evt-000048,u-00202,eu-west,2026-04-07T03:24:44Z
evt-000049,u-00151,us-east,2026-04-09T13:52:39Z
evt-000050,u-00097,us-east,2026-04-06T23:37:03Z
evt-000051,u-00113,us-east,2026-04-05T19:31:53Z
evt-000052,u-00010,eu-west,2026-04-07T03:32:41Z
evt-000053,u-00109,eu-west,2026-04-04T01:34:02Z
evt-000054,u-00208,eu-west,2026-04-05T12:33:34Z
evt-000055,u-00187,eu-west,2026-04-07T20:23:07Z
evt-000056,u-00043,eu-west,2026-04-12T22:28:50Z
evt-000057,u-00033,us-east,2026-04-03T02:08:45Z
evt-000058,u-00222,eu-west,2026-04-01T15:14:23Z
evt-000059,u-00181,us-east,2026-04-03T12:09:30Z
evt-000060,u-00186,eu-west,2026-04-14T21:41:49Z
evt-000061,u-00184,us-east,2026-04-01T10:02:37Z
evt-000062,u-00039,eu-west,2026-04-03T02:19:01Z
evt-000063,u-00087,eu-west,2026-04-04T17:11:16Z
evt-000064,u-00219,eu-west,2026-04-04T12:26:47Z
evt-000065,u-00206,eu-west,2026-04-02T22:41:57Z
evt-000066,u-00198,us-east,2026-04-11T17:05:32Z
evt-000067,u-00009,eu-west,2026-04-08T19:53:51Z
evt-000068,u-00201,eu-west,2026-04-07T12:49:16Z
evt-000069,u-00037,us-east,2026-04-09T20:24:45Z
evt-000070,u-00084,us-east,2026-04-01T09:31:41Z
evt-000071,u-00234,eu-west,2026-04-11T08:14:46Z
evt-000072,u-00052,us-east,2026-04-12T03:06:11Z
evt-000073,u-00136,eu-west,2026-04-10T07:55:10Z
evt-000074,u-00172,eu-west,2026-04-11T04:06:08Z
evt-000075,u-00016,eu-west,2026-04-08T23:57:39Z
evt-000076,u-00094,eu-west,2026-04-10T19:21:29Z
evt-000077,u-00226,eu-west,2026-04-14T04:13:02Z
evt-000078,u-00159,eu-west,2026-04-06T03:35:10Z
evt-000079,u-00225,us-east,2026-04-01T11:22:16Z
evt-000080,u-00189,us-east,2026-04-11T12:57:30Z
evt-000081,u-00087,us-east,2026-04-03T21:06:29Z
evt-000082,u-00145,us-east,2026-04-12T04:55:46Z
evt-000083,u-00002,us-east,2026-04-06T23:00:29Z
evt-000084,u-00187,us-east,2026-04-06T11:02:54Z
evt-000085,u-00207,eu-west,2026-04-10T21:38:03Z
evt-000086,u-00027,eu-west,2026-04-07T15:25:35Z
evt-000087,u-00025,eu-west,2026-04-10T05:45:12Z
evt-000088,u-00157,us-east,2026-04-01T03:17:09Z
evt-000089,u-00089,eu-west,2026-04-01T18:52:17Z
evt-000090,u-00164,us-east,2026-04-01T15:36:30Z
evt-000091,u-00085,us-east,2026-04-01T05:39:07Z
evt-000092,u-00082,us-east,2026-04-13T15:20:40Z
evt-000093,u-00081,us-east,2026-04-13T14:59:57Z
evt-000094,u-00061,eu-west,2026-04-02T00:14:13Z
evt-000095,u-00222,eu-west,2026-04-03T13:25:13Z
evt-000096,u-00247,eu-west,2026-04-03T06:44:50Z
evt-000097,u-00048,eu-west,2026-04-09T15:19:50Z
evt-000098,u-00075,eu-west,2026-04-01T06:02:33Z
evt-000099,u-00143,eu-west,2026-04-04T21:01:56Z
evt-000100,u-00081,us-east,2026-04-13T19:01:53Z
evt-000101,u-00060,eu-west,2026-04-14T04:16:28Z
evt-000102,u-00170,us-east,2026-04-09T01:46:34Z
evt-000103,u-00120,us-east,2026-04-09T14:02:37Z
evt-000104,u-00196,us-east,2026-04-05T20:54:18Z
evt-000105,u-00072,us-east,2026-04-04T19:31:06Z
evt-000106,u-00123,eu-west,2026-04-13T14:55:50Z
evt-000107,u-00109,us-east,2026-04-04T23:47:08Z
evt-000108,u-00084,eu-west,2026-04-11T18:05:05Z
evt-000109,u-00141,eu-west,2026-04-14T03:58:25Z
evt-000110,u-00045,eu-west,2026-04-05T11:40:58Z
evt-000111,u-00136,us-east,2026-04-05T16:56:35Z
evt-000112,u-00204,us-east,2026-04-09T07:25:25Z
evt-000113,u-00210,us-east,2026-04-11T02:18:06Z
evt-000114,u-00150,eu-west,2026-04-02T16:00:13Z
evt-000115,u-00202,eu-west,2026-04-14T14:24:21Z
evt-000116,u-00014,eu-west,2026-04-13T23:12:01Z
evt-000117,u-00021,eu-west,2026-04-10T17:13:43Z
evt-000118,u-00090,us-east,2026-04-03T11:30:13Z
evt-000119,u-00042,us-east,2026-04-14T19:58:18Z
