order_id,region,status,placed_at_utc
ord-000000,apac,placed,2026-04-04T22:25:48Z
ord-000003,apac,fulfilled,2026-04-06T01:29:12Z
ord-000004,apac,fulfilled,2026-04-02T01:24:37Z
ord-000005,apac,placed,2026-04-06T11:39:52Z
ord-000006,apac,placed,2026-04-10T06:40:30Z
ord-000007,apac,fulfilled,2026-04-09T07:47:36Z
ord-000008,eu,placed,2026-04-06T03:47:49Z
ord-000009,eu,fulfilled,2026-04-02T21:14:03Z
ord-000010,na,placed,2026-04-09T16:33:27Z
ord-000011,apac,placed,2026-04-09T18:50:50Z
ord-000012,apac,placed,2026-04-06T04:59:53Z
ord-000013,eu,placed,2026-04-03T06:01:28Z
ord-000014,eu,fulfilled,2026-04-05T01:38:35Z
ord-000015,na,placed,2026-04-05T09:59:39Z
ord-000016,na,fulfilled,2026-04-02T23:01:03Z
ord-000017,na,fulfilled,2026-04-04T21:13:04Z
ord-000018,apac,fulfilled,2026-04-07T04:18:23Z
ord-000019,na,placed,2026-04-05T20:13:04Z
ord-000020,eu,fulfilled,2026-04-05T15:34:40Z
ord-000021,apac,fulfilled,2026-04-07T10:52:46Z
ord-000022,eu,fulfilled,2026-04-09T06:22:41Z
ord-000023,na,placed,2026-04-07T10:33:04Z
ord-000024,eu,placed,2026-04-02T23:15:21Z
ord-000025,apac,fulfilled,2026-04-02T02:48:53Z
ord-000026,na,fulfilled,2026-04-10T11:51:20Z
ord-000027,na,placed,2026-04-09T00:00:14Z
ord-000028,na,placed,2026-04-01T14:12:51Z
ord-000029,na,placed,2026-04-07T04:12:32Z
ord-000030,eu,placed,2026-04-10T21:34:38Z
ord-000032,na,fulfilled,2026-04-10T19:51:17Z
ord-000034,na,placed,2026-04-07T04:45:42Z
ord-000035,eu,fulfilled,2026-04-09T05:25:54Z
ord-000036,eu,placed,2026-04-05T11:11:29Z
ord-000037,apac,fulfilled,2026-04-03T16:07:01Z
ord-000038,eu,fulfilled,2026-04-06T09:45:10Z
ord-000040,na,fulfilled,2026-04-04T14:49:26Z
ord-000041,eu,fulfilled,2026-04-05T01:28:08Z
ord-000044,eu,fulfilled,2026-04-07T13:23:32Z
ord-000046,apac,placed,2026-04-05T17:04:01Z
ord-000047,na,fulfilled,2026-04-05T20:29:45Z
ord-000048,na,placed,2026-04-03T09:13:10Z
ord-000049,na,placed,2026-04-06T17:10:31Z
ord-000051,na,fulfilled,2026-04-07T13:17:31Z
ord-000052,na,placed,2026-04-01T14:32:44Z
ord-000053,na,placed,2026-04-03T09:03:22Z
ord-000054,na,fulfilled,2026-04-08T07:46:54Z
ord-000055,na,fulfilled,2026-04-04T07:26:25Z
ord-000056,na,placed,2026-04-03T15:40:14Z
ord-000057,apac,placed,2026-04-07T16:55:40Z
ord-000058,eu,fulfilled,2026-04-02T22:59:12Z
ord-000060,apac,fulfilled,2026-04-09T10:25:13Z
ord-000061,apac,fulfilled,2026-04-07T08:03:48Z
ord-000062,na,placed,2026-04-10T13:12:52Z
ord-000063,na,placed,2026-04-08T17:40:59Z
ord-000064,na,placed,2026-04-07T18:16:10Z
ord-000065,apac,placed,2026-04-01T13:35:03Z
ord-000066,na,placed,2026-04-06T02:07:08Z
ord-000067,eu,placed,2026-04-04T02:05:17Z
ord-000069,eu,fulfilled,2026-04-08T02:35:55Z
ord-000070,na,placed,2026-04-09T00:55:10Z
ord-000071,eu,placed,2026-04-02T03:10:29Z
ord-000072,na,placed,2026-04-04T19:28:48Z
ord-000073,eu,fulfilled,2026-04-06T17:28:40Z
ord-000074,na,fulfilled,2026-04-04T04:10:29Z
ord-000076,eu,placed,2026-04-02T11:23:35Z
ord-000079,apac,placed,2026-04-09T15:13:06Z
ord-000080,na,placed,2026-04-09T00:04:48Z
ord-000081,eu,placed,2026-04-01T06:30:00Z
ord-000082,na,fulfilled,2026-04-07T22:42:12Z
ord-000083,na,fulfilled,2026-04-08T05:21:09Z
ord-000084,eu,placed,2026-04-08T02:47:47Z
ord-000086,apac,fulfilled,2026-04-01T09:30:51Z
ord-000087,apac,fulfilled,2026-04-07T15:43:51Z
ord-000088,na,fulfilled,2026-04-10T09:42:11Z
ord-000089,eu,fulfilled,2026-04-06T20:02:20Z
ord-000090,eu,fulfilled,2026-04-04T17:25:38Z
ord-000091,eu,fulfilled,2026-04-08T11:35:59Z
ord-000092,na,placed,2026-04-07T01:11:36Z
ord-000094,na,placed,2026-04-06T03:29:12Z
ord-000095,eu,fulfilled,2026-04-05T05:45:02Z
ord-000096,eu,placed,2026-04-09T16:53:50Z
ord-000097,eu,fulfilled,2026-04-02T05:00:21Z
ord-000098,eu,fulfilled,2026-04-05T19:53:16Z
ord-000099,apac,fulfilled,2026-04-01T23:51:00Z
ord-000100,eu,placed,2026-04-07T13:28:34Z
ord-000101,na,fulfilled,2026-04-04T19:43:31Z
ord-000102,na,placed,2026-04-02T22:41:44Z
ord-000105,apac,placed,2026-04-08T15:58:58Z
ord-000106,na,fulfilled,2026-04-10T07:36:35Z
ord-000107,apac,placed,2026-04-02T20:13:18Z
ord-000108,apac,fulfilled,2026-04-06T10:18:08Z
ord-000109,na,placed,2026-04-05T00:29:49Z
ord-000110,apac,placed,2026-04-05T08:22:02Z
ord-000111,eu,fulfilled,2026-04-04T13:36:26Z
ord-000112,na,fulfilled,2026-04-01T20:28:05Z
ord-000113,eu,fulfilled,2026-04-08T18:02:46Z
ord-000114,eu,placed,2026-04-01T02:17:55Z
ord-000115,eu,fulfilled,2026-04-06T11:07:37Z
ord-000116,apac,fulfilled,2026-04-03T02:17:18Z
ord-000119,na,fulfilled,2026-04-09T23:36:35Z
ord-000120,eu,fulfilled,2026-04-05T23:30:28Z
ord-000121,apac,fulfilled,2026-04-08T16:21:55Z
ord-000122,eu,fulfilled,2026-04-08T21:46:17Z
ord-000123,eu,fulfilled,2026-04-03T18:31:29Z
ord-000124,na,placed,2026-04-04T01:28:10Z
ord-000125,eu,placed,2026-04-02T22:39:23Z
ord-000126,apac,fulfilled,2026-04-01T19:01:27Z
ord-000127,apac,placed,2026-04-07T10:37:45Z
ord-000128,na,placed,2026-04-06T23:34:14Z
ord-000129,na,placed,2026-04-10T13:33:21Z
ord-000130,na,fulfilled,2026-04-09T08:47:05Z
ord-000131,apac,fulfilled,2026-04-08T18:06:54Z
ord-000132,apac,fulfilled,2026-04-10T14:17:51Z
ord-000133,na,placed,2026-04-07T04:09:50Z
ord-000134,apac,placed,2026-04-01T19:09:48Z
ord-000135,na,fulfilled,2026-04-06T20:01:58Z
ord-000136,na,placed,2026-04-10T14:14:36Z
ord-000137,apac,fulfilled,2026-04-09T21:27:02Z
ord-000139,apac,fulfilled,2026-04-10T16:14:26Z
ord-000140,na,placed,2026-04-10T18:42:28Z
ord-000141,na,fulfilled,2026-04-05T17:14:41Z
ord-000143,na,fulfilled,2026-04-09T12:19:40Z
ord-000144,na,fulfilled,2026-04-07T21:48:40Z
ord-000145,na,fulfilled,2026-04-03T02:06:15Z
ord-000146,na,fulfilled,2026-04-08T03:23:24Z
ord-000147,eu,fulfilled,2026-04-03T06:39:21Z
ord-000148,apac,fulfilled,2026-04-03T21:24:08Z
ord-000149,eu,fulfilled,2026-04-09T06:08:04Z
ord-000150,eu,placed,2026-04-04T06:12:35Z
ord-000151,na,placed,2026-04-05T05:49:31Z
ord-000152,na,placed,2026-04-07T12:40:50Z
ord-000153,na,fulfilled,2026-04-10T05:32:52Z
ord-000154,na,placed,2026-04-06T05:17:02Z
ord-000155,eu,placed,2026-04-02T11:30:26Z
ord-000156,eu,placed,2026-04-07T17:00:06Z
ord-000157,apac,fulfilled,2026-04-09T16:17:49Z
ord-000158,na,fulfilled,2026-04-06T15:04:22Z
ord-000159,eu,fulfilled,2026-04-07T11:32:10Z
ord-000160,apac,fulfilled,2026-04-01T13:54:04Z
ord-000161,na,placed,2026-04-10T13:58:17Z
ord-000162,apac,placed,2026-04-01T04:03:02Z
ord-000163,eu,fulfilled,2026-04-07T03:46:48Z
ord-000164,apac,fulfilled,2026-04-01T17:20:02Z
ord-000165,na,placed,2026-04-04T17:36:03Z
ord-000166,na,fulfilled,2026-04-04T13:09:27Z
ord-000167,eu,placed,2026-04-05T22:17:37Z
ord-000169,na,placed,2026-04-08T02:07:23Z
ord-000170,eu,fulfilled,2026-04-02T14:49:17Z
ord-000171,eu,placed,2026-04-10T20:36:05Z
ord-000173,na,placed,2026-04-06T15:29:05Z
ord-000174,eu,fulfilled,2026-04-07T06:36:05Z
ord-000175,apac,fulfilled,2026-04-09T10:01:17Z
ord-000176,na,placed,2026-04-08T19:49:22Z
ord-000177,apac,placed,2026-04-03T05:46:34Z
ord-000178,apac,fulfilled,2026-04-01T04:28:11Z
ord-000179,na,fulfilled,2026-04-03T19:58:28Z
ord-000180,eu,placed,2026-04-06T23:22:20Z
ord-000181,eu,fulfilled,2026-04-02T22:10:05Z
ord-000184,na,fulfilled,2026-04-06T23:09:48Z
ord-000186,na,placed,2026-04-08T04:13:20Z
ord-000188,na,fulfilled,2026-04-05T23:50:26Z
ord-000189,apac,placed,2026-04-06T12:05:01Z
ord-000190,eu,fulfilled,2026-04-05T11:37:29Z
ord-000192,na,fulfilled,2026-04-07T21:17:16Z
ord-000193,eu,fulfilled,2026-04-03T14:09:42Z
ord-000194,na,placed,2026-04-05T14:10:54Z
ord-000195,na,placed,2026-04-06T09:42:59Z
ord-000197,na,placed,2026-04-09T18:32:39Z
ord-000198,na,placed,2026-04-10T09:52:38Z
ord-000199,na,placed,2026-04-05T10:08:57Z
ord-000201,eu,placed,2026-04-08T19:06:28Z
ord-000202,apac,placed,2026-04-05T12:39:20Z
ord-000203,na,placed,2026-04-10T14:06:34Z
ord-000206,eu,fulfilled,2026-04-08T19:09:25Z
ord-000208,na,fulfilled,2026-04-09T13:28:27Z
ord-000209,eu,fulfilled,2026-04-06T12:49:11Z
ord-000210,eu,fulfilled,2026-04-03T18:14:04Z
ord-000211,eu,placed,2026-04-04T13:32:58Z
ord-000212,apac,fulfilled,2026-04-05T19:55:24Z
ord-000213,eu,placed,2026-04-05T20:03:33Z
ord-000215,eu,placed,2026-04-08T22:52:55Z
ord-000216,na,fulfilled,2026-04-03T08:48:50Z
ord-000217,na,fulfilled,2026-04-01T06:58:15Z
ord-000218,na,placed,2026-04-04T07:39:11Z
